Franchise,Movie
Dirty Harry,Sudden Impact
Dirty Harry,The Dead Pool
Alien,Alien
Alien,Aliens
Alien,Alien 3
Alien,Alien Resurrection
Alien,Alien vs. Predator
Alien,Aliens vs. Predator - Requiem
Alien,Prometheus
Alien,Alien: Covenant
Die Hard,Die Hard
Die Hard,Die Hard 2: Die Harder
Die Hard,Die Hard: With a Vengeance
Die Hard,Live Free or Die Hard
Die Hard,A Good Day to Die Hard
Jurassic Park,Jurassic Park
Jurassic Park,The Lost World: Jurassic Park
Jurassic Park,Jurassic Park III
Jurassic Park,Jurassic World
Jurassic Park,Jurassic World: Fallen Kingdom
Jurassic Park,Jurassic World: Dominion
Fast and the Furious,The Fast and the Furious
Fast and the Furious,2 Fast 2 Furious
Fast and the Furious,The Fast and the Furious: Tokyo Drift 
Fast and the Furious,Fast and Furious
Fast and the Furious,Fast Five
Fast and the Furious,Fast & Furious 6
Fast and the Furious,Furious 7
Fast and the Furious,The Fate of the Furious
Fast and the Furious,F9: The Fast Saga
Lethal Weapon,Lethal Weapon
Lethal Weapon,Lethal Weapon 2
Lethal Weapon,Lethal Weapon 3
Lethal Weapon,Lethal Weapon 4
Pirates of the Caribbean,Pirates of the Caribbean: The Curse of the Black Pearl 
Pirates of the Caribbean,Pirates of the Caribbean: Dead Man's Chest
Pirates of the Caribbean,Pirates of the Caribbean: At World's End
Pirates of the Caribbean,Pirates of the Caribbean: On Stranger Tides
Pirates of the Caribbean,Pirates of the Caribbean: Dead Men Tell No Tales
American Pie,American Pie
American Pie,American Pie 2
American Pie,American Wedding
American Pie,American Reunion
Rambo,First Blood
Rambo,Rambo: First Blood Part II 
Rambo,Rambo III
Rambo,Rambo
Rambo,Rambo: Last Blood
The Mummy,The Mummy
The Mummy,The Mummy Returns
The Mummy,The Scorpion King
The Mummy,The Mummy: Tomb of the Dragon Emperor
Transformers,Transformers
Transformers,Transformers: Revenge of the Fallen
Transformers,Transformers: Dark of the Moon
Transformers,Transformers: Age of Extinction
Transformers,Transformers: The Last Knight
Resident Evil,Resident Evil
Resident Evil,Resident Evil: Apocalypse
Resident Evil,Resident Evil: Extinction
Resident Evil,Resident Evil: Afterlife
Resident Evil,Resident Evil: Retribution
Resident Evil,Resident Evil: The Final Chapter
Underworld,Underworld
Underworld,Underworld: Evolution
Underworld,Underworld: Rise of the Lycans
Underworld,Underworld: Awakening
Underworld,Underworld: Blood Wars
Police Academy,Police Academy
Police Academy,Police Academy 2: Their First Assignment
Police Academy,Police Academy 3: Back in Training
Police Academy,Police Academy 4: Citizens on Patrol
Police Academy,Police Academy 5: Assignment: Miami Beach
Police Academy,Police Academy 6: City Under Siege
Police Academy,Police Academy: Mission to Moscow
Back to the Future,Back to the Future
Back to the Future,Back to the Future Part II
Back to the Future,Back to the Future Part III
Saw,Saw
Saw,Saw II
Saw,Saw III
Saw,Saw IV
Saw,Saw V
Saw,Saw VI
Saw,Saw: The Final Chapter
Final Destination,Final Destination
Final Destination,Final Destination 2
Final Destination,Final Destination 3
Final Destination,The Final Destination
Final Destination,Final Destination 5
The Crow,The Crow
The Crow,The Crow: City of Angels
The Crow,The Crow: Salvation
The Crow,The Crow: Wicked Prayer
Men in Black,Men in Black
Men in Black,Men in Black II
Men in Black,Men in Black 3
Scary Movie,Scary Movie
Scary Movie,Scary Movie 2
Scary Movie,Scary Movie 3
Scary Movie,Scary Movie 4
Scary Movie,Scary Movie V
The Godfather,The Godfather
The Godfather,The Godfather Part II
The Godfather,The Godfather Part III
John Wick,John Wick
John Wick,John Wick: Chapter 2
John Wick,John Wick: Chapter 3 - Parabellum
The Matrix,The Matrix
The Matrix,The Matrix Reloaded
The Matrix,The Matrix Revolutions
The Matrix,The Matrix Resurrections
